sample_id,question,qtype,left_pred,right_pred,left_score,right_score,delta,bucket,left_enhanced,right_enhanced,right_selected_objects
0,What is in the motorcyclist's mouth?,other,nothing,nothing,0.0,0.0,0.0,same,False,False,helmet;sunglasses;glasses
1,Which number birthday is probably being celebrated?,text_sign_logo,20,20,0.0,0.0,0.0,same,False,False,bear;number;cake
2,What best describes the pool of water?,other,calm,calm,0.0,0.0,0.0,same,False,False,water;reflection;mud
3,What is the white substance on top of the cupcakes?,other,cream,cream,0.3,0.3,0.0,same,False,False,icing;frosting;cream
4,What type of device is sitting next to the laptop?,what_type_kind,phone,phone,1.0,1.0,0.0,same,False,False,phone;laptop;countertop
5,The thing on the animal to the left's head is similar to what is on the head of what else?,other,sheep,sheep,0.3,0.3,0.0,same,True,True,sheep;ear;nose
6,What is the appliance the woman is holding used for?,activity_event,dry hair,dry hair,0.0,0.0,0.0,same,False,False,towel;brush;toilet
7,What is the descriptive word for this surface?,text_sign_logo,desk,desk,0.6,0.6,0.0,same,False,False,cat;screen;monitor
8,What is the person on the left doing with their body?,activity_event,riding wave,crouching,0.0,0.6,0.6,right_better,False,False,surfer;wetsuit;board
9,What type of pants is the man on the right wearing?,what_type_kind,jeans,jeans,1.0,1.0,0.0,same,False,False,jean;pant;plate
10,What country do these planes belong to?,other,usa,usa,0.6,0.6,0.0,same,False,False,flag;banner;person
11,What interests the child most here?,other,cupcake,cupcake,0.6,0.6,0.0,same,False,False,candle;flame;dessert
12,What kind of fruit is cut in half and darker than the other?,what_type_kind,olive,olive,0.3,0.3,0.0,same,False,False,olive;tomato;chicken
13,What item on the desk could help with a cold?,what_object,cough syrup,cough syrup,0.0,0.0,0.0,same,True,True,bag;napkin;woman
14,What flag is represented on the wall?,other,american flag,american flag,0.0,0.0,0.0,same,False,False,cake;woman;man
15,What is located on the shelves?,other,books,books,1.0,1.0,0.0,same,False,False,book;painting;head
16,What period of the day does this photo reflect?,other,afternoon,afternoon,0.8999999999999999,0.8999999999999999,0.0,same,False,False,clock;tower;sky
17,What activity does the cat appear most likely to do?,activity_event,eat,eat,0.3,0.3,0.0,same,False,False,cat;reflection;door
18,What event is this most likely?,activity_event,dinner,dinner,1.0,1.0,0.0,same,False,False,wine;bottle;salad
19,What is the outside of the cake made of?,other,frost,frost,0.0,0.0,0.0,same,False,False,cake;bag;case
20,Why is the person wearing a white jacket?,why,chef,chef,1.0,1.0,0.0,same,False,False,shirt;pot;donut
21,What is the dog trying to catch?,other,frisbee,frisbee,1.0,1.0,0.0,same,False,False,frisbee;man;shoe
22,Which animal usually occupies the position the cat is in right now?,which,human,human,1.0,1.0,0.0,same,False,False,chair;cat;seat
23,What kind of resort are these people at?,what_type_kind,ski resort,ski resort,1.0,1.0,0.0,same,False,False,mountain;hill;ground
