idx,key,question,question_type,context,objects,r3_answer,r3_score,best_method,best_answer,best_score,delta,r3_caption_answer,r3_caption_score,answer_first_locked_no_caption_answer,answer_first_locked_no_caption_score,review_empty_context_answer,review_empty_context_score,no_cot_rounds1_answer,no_cot_rounds1_score,r3_no_caption_answer,r3_no_caption_score,keep_revise_answer,keep_revise_score,visible_only_answer,visible_only_score,reviewer_caption_only_answer,reviewer_caption_only_score
3,329542<->2C8riXpRLX3CyM5jDz23m7,What is the white substance on top of the cupcakes?,object_what,a person is taking a picture of some cupcakes.,"icing,frosting,cream",cream,0.3,answer_first_locked_no_caption,frosting,0.8999999999999999,0.5999999999999999,cream,0.3,frosting,0.8999999999999999,cream,0.3,cream,0.3,cream,0.3,cream,0.3,cream,0.3,cream,0.3
4,182202<->2DQex53EkNGH2cfo3WPuPn,What type of device is sitting next to the laptop?,spatial_location,a laptop computer sitting on top of a table.,"phone,laptop,table",cell phone,0.6,answer_first_locked_no_caption,phone,1.0,0.4,cell phone,0.6,phone,1.0,phone,1.0,phone,1.0,phone,1.0,phone,1.0,cell phone,0.6,phone,1.0
8,341196<->2P5mVJc5a6DcCN9opV92FJ,What is the person on the left doing with their body?,spatial_location,a man riding a wave on top of a surfboard.,"surfer,wetsuit,board",crouching,0.6,answer_first_locked_no_caption,surfing,1.0,0.4,crouching,0.6,surfing,1.0,crouching,0.6,crouching,0.6,crouching,0.6,riding wave,0.0,crouching,0.6,surfing,1.0
10,71711<->2RN4dwhRZR3ZSKHtRnJdX3,What country do these planes belong to?,object_what,a group of people standing next to a plane in a hangar.,"flag,banner,person",usa,0.6,answer_first_locked_no_caption,United States,1.0,0.4,usa,0.6,United States,1.0,usa,0.6,usa,0.6,usa,0.6,usa,0.6,usa,0.6,usa,0.6
19,180878<->2xDeTCXSRqdhvREBDhHsMx,What is the outside of the cake made of?,object_what,a birthday cake with a car and a cell phone on it.,"cake,bag,case",frost,0.0,answer_first_locked_no_caption,frosting,0.3,0.3,frost,0.0,frosting,0.3,frost,0.0,frost,0.0,frost,0.0,frost,0.0,frost,0.0,frost,0.0
34,547816<->3qnvp3XRGpc5L6RMhRZ3gg,The visible bottles most likely contain what kind of items?,category_type,a bathroom with a shower curtain and a toilet.,"bottle,countertop,bathtub",shampoo and conditioner,0.0,review_empty_context,shampoo,1.0,1.0,shampoo and conditioner,0.0,shower products,0.0,shampoo,1.0,shampoo and conditioner,0.0,shampoo and conditioner,0.0,shampoo and conditioner,0.0,shampoo,1.0,shampoo and conditioner,0.0
36,485480<->3w3DT989GgT6yjqurjvmt6,What is the batter most likely preparing to do here?,object_what,a baseball player swinging a bat on top of a field.,"bat,hand,glove",hit ball,0.0,answer_first_locked_no_caption,swing,0.6,0.6,hit ball,0.0,swing,0.6,hit ball,0.0,hit ball,0.0,hit ball,0.0,hit ball,0.0,hit ball,0.0,hit ball,0.0
38,286994<->455nQuaxbURN5ofLfbCqfq,What kind of terrain is it?,category_type,a herd of elephants walking across a dry grass field.,"elephant,water,bush",grassland,0.0,answer_first_locked_no_caption,savanna,0.6,0.6,grassland,0.0,savanna,0.6,grassland,0.0,grass field,0.0,savannah,0.0,dry grass field,0.0,grassland,0.0,grassland,0.0
43,153632<->4FBqxbmT4zCDwWzm3gH7LY,Which food item is the knife for?,other,a plate of food on a table with a knife and fork.,"mushroom,food,meat",food,0.0,r3_no_caption,meat,1.0,1.0,food,0.0,food,0.0,food,0.0,food,0.0,meat,1.0,food,0.0,food,0.0,food,0.0
44,217285<->4H7KMfvPvCTSvtf8Uyp55D,What is the orange container on the left near the man in the red shirt used for?,purpose_reason,a baseball player holding a bat on top of a field.,"cooler,dugout,man",cooling,0.0,answer_first_locked_no_caption,cooler,1.0,1.0,cooling,0.0,cooler,1.0,cooling,0.0,cooling,0.0,cooling,0.0,cooling,0.0,cooling,0.0,cooling,0.0
51,176799<->4cdYbJFFeKXJr6LbKgcxTa,In what type of environment are they most likely riding skateboards?,action_state,a man flying through the air while riding a skateboard.,"man,stair,graffiti",skate park,0.3,answer_first_locked_no_caption,urban,0.8999999999999999,0.5999999999999999,skate park,0.3,urban,0.8999999999999999,skate park,0.3,skate park,0.3,urban,0.8999999999999999,skate park,0.3,park,0.0,skate park,0.3
61,50896<->4yq3AnREQ4PP7MXMWvBb5a,What festive season are these fruits usually ingested?,object_what,a bowl filled with oranges on top of a table.,"tangerine,orange,bowl",holiday,0.0,answer_first_locked_no_caption,christmas,1.0,1.0,holiday,0.0,christmas,1.0,christmas,1.0,halloween,0.0,holiday,0.0,holiday,0.0,christmas,1.0,holiday,0.0
