sample_id,question,qtype,best_pred,mcts_pred,best_score,mcts_score,delta,bucket,mcts_instruction,mcts_enhanced,mcts_selected_objects
0,What is in the motorcyclist's mouth?,other,nothing,nothing,0.0,0.0,0.0,same,caption,False,helmet;sunglasses;glasses
1,Which number birthday is probably being celebrated?,text_sign_logo,20,23,0.0,0.0,0.0,same,image,True,bear;number;cake
2,What best describes the pool of water?,other,calm,calm,0.0,0.0,0.0,same,image,False,water;reflection;mud
3,What is the white substance on top of the cupcakes?,other,cream,cream,0.3,0.3,0.0,same,image,False,icing;frosting;cream
4,What type of device is sitting next to the laptop?,what_type_kind,phone,phone,1.0,1.0,0.0,same,image,True,phone;laptop;table
5,The thing on the animal to the left's head is similar to what is on the head of what else?,other,animal to right,sheep,0.0,0.3,0.3,mcts_better,image,True,sheep;head;nose
6,What is the appliance the woman is holding used for?,activity_event,dry hair,dry hair,0.0,0.0,0.0,same,image,False,towel;brush;toilet
7,What is the descriptive word for this surface?,text_sign_logo,desk,desk,0.6,0.6,0.0,same,image,False,cat;screen;monitor
8,What is the person on the left doing with their body?,activity_event,crouching,riding wave,0.6,0.0,-0.6,best_better,image,False,surfer;wetsuit;board
9,What type of pants is the man on the right wearing?,what_type_kind,jeans,jeans,1.0,1.0,0.0,same,image,True,jean;pant;plate
10,What country do these planes belong to?,other,usa,usa,0.6,0.6,0.0,same,image,False,flag;banner;person
11,What interests the child most here?,other,cupcake,cupcake,0.6,0.6,0.0,same,image,False,candle;flame;dessert
12,What kind of fruit is cut in half and darker than the other?,what_type_kind,olive,olive,0.3,0.3,0.0,same,image,False,olive;tomato;chicken
13,What item on the desk could help with a cold?,what_object,cough syrup,cough syrup,0.0,0.0,0.0,same,image,True,bag;napkin;woman
14,What flag is represented on the wall?,other,american flag,american flag,0.0,0.0,0.0,same,image,False,cake;woman;man
15,What is located on the shelves?,other,books,books,1.0,1.0,0.0,same,image,False,book;painting;head
16,What period of the day does this photo reflect?,other,afternoon,afternoon,0.8999999999999999,0.8999999999999999,0.0,same,image,False,clock;tower;sky
17,What activity does the cat appear most likely to do?,activity_event,eat,eat,0.3,0.3,0.0,same,image,False,cat;reflection;door
18,What event is this most likely?,activity_event,dinner,dinner,1.0,1.0,0.0,same,image,False,wine;bottle;salad
19,What is the outside of the cake made of?,other,frost,frost,0.0,0.0,0.0,same,image,False,cake;bag;case
20,Why is the person wearing a white jacket?,why,chef,chef,1.0,1.0,0.0,same,image,False,shirt;pot;donut
21,What is the dog trying to catch?,other,frisbee,frisbee,1.0,1.0,0.0,same,image,False,frisbee;man;shoe
22,Which animal usually occupies the position the cat is in right now?,which,human,cat,1.0,0.0,-1.0,best_better,image,True,chair;cat;seat
23,What kind of resort are these people at?,what_type_kind,ski resort,ski resort,1.0,1.0,0.0,same,image,False,mountain;hill;ground
24,What type of transportation is this?,what_type_kind,airplane,airplane,1.0,1.0,0.0,same,image,True,airplane;person;ladder
25,The cat is looking in what direction?,other,down,down,1.0,1.0,0.0,same,image,False,water;faucet;drain
26,What are the orange vehicles for?,other,tug,ground service,0.0,0.0,0.0,same,image,False,car;truck;runway
27,The company producing the device in her hand is from what country?,other,japan,japan,1.0,1.0,0.0,same,image,False,remote;woman;nose
28,Which is not an ingredient of this dish?,which,butter,hand,0.0,0.0,0.0,same,image,True,glass;knife;hand
29,What is closest to the tree trunk?,other,bike,bike,0.3,0.3,0.0,same,image,False,seat;bike;shadow
30,Where are we at?,where,market,market,1.0,1.0,0.0,same,image,False,market;scooter;woman
31,What is beside the person on the seat?,other,bag,bag,1.0,1.0,0.0,same,image,False,bag;umbrella;sign
32,What does it say on the boys hat?,other,happy birthday,happy birthday,1.0,1.0,0.0,same,image,False,hat;tennis racket;boy
33,What sport are they mimicking?,other,baseball,baseball,1.0,1.0,0.0,same,image,False,ball;stick;woman
34,The visible bottles most likely contain what kind of items?,what_type_kind,shampoo and conditioner,shampoo and conditioner,0.0,0.0,0.0,same,image,False,bottle;bathtub;shower head
35,What sport game is the man playing?,other,wii,wii,0.3,0.3,0.0,same,image,False,man;controller;television
36,What is the batter most likely preparing to do here?,activity_event,hit ball,hit ball,0.0,0.0,0.0,same,image,False,bat;hand;glove
37,What kind of venue is it?,what_type_kind,kitchen,kitchen,1.0,1.0,0.0,same,image,False,table;sink;cabinet
38,What kind of terrain is it?,what_type_kind,grass field,grass field,0.0,0.0,0.0,same,image,False,elephant;water;bush
39,What is the bin on the left made from?,other,metal,metal,1.0,1.0,0.0,same,image,False,container;hay;ground
40,What type of animal is on a leash on the sidewalk?,what_type_kind,dog,dog,1.0,1.0,0.0,same,image,True,dog;man;person
41,What room of the house is this man in?,other,bathroom,bathroom,1.0,1.0,0.0,same,image,False,man;person;sink
42,What is likely in front of the rug?,other,dishwasher,dishwasher,0.0,0.0,0.0,same,image,False,dishwasher;stove;oven
43,Which food item is the knife for?,which,food,mushroom,0.0,0.0,0.0,same,image,True,mushroom;plate;bowl
44,What is the orange container on the left near the man in the red shirt used for?,activity_event,cooling,cooling,0.0,0.0,0.0,same,image,False,cooler;dugout;man
45,What type of design is the person's shirt?,what_type_kind,tie dye,tie dye,1.0,1.0,0.0,same,image,True,shirt;person;man
46,What kind of cuisine is this?,what_type_kind,asian,asian,0.8999999999999999,0.8999999999999999,0.0,same,image,False,noodle;broccoli;mushroom
47,What is on the side of the yellow plane?,other,n4339,N4339,0.0,0.0,0.0,same,image,True,number;letter;stripe
48,Why are the men's vests orange?,why,safety,safety,1.0,1.0,0.0,same,image,False,man;vest;light
49,Why would you sit at this table?,why,to eat,to eat,1.0,1.0,0.0,same,image,False,table;cake;food
50,What type of sinks are shown?,what_type_kind,vanity,vanity sinks,0.0,0.0,0.0,same,image,True,sink;tub;countertop
51,In what type of environment are they most likely riding skateboards?,what_type_kind,skate park,skate park,0.3,0.3,0.0,same,image,False,man;stair;graffiti
52,Is the man on the left platform going to board the train?,other,no,no,1.0,1.0,0.0,same,image,False,platform;person;front
53,This part of the house where is the girl is is called?,where,bedroom,bedroom,1.0,1.0,0.0,same,image,False,woman;bed;headboard
54,They are likely having pizza at what kind of event?,what_type_kind,social gathering,social gathering,0.0,0.0,0.0,same,image,False,man;hoodie;jean
55,What are the people driving?,other,motorcycles,motorcycles,0.8999999999999999,0.8999999999999999,0.0,same,image,False,motorcycle;bike;man
56,The bus is likely driving through which American city?,which,new york city,New York,0.0,1.0,1.0,mcts_better,image,True,road;street;pant
57,What drink might these be good in?,other,smoothie,smoothie,0.8999999999999999,0.8999999999999999,0.0,same,image,False,banana;woman;table
58,What type of parking is available?,what_type_kind,bike,bike,0.8999999999999999,0.8999999999999999,0.0,same,image,True,bicycle;bike;moped
59,What direction is the narrow end of the flag pointing?,other,north,north,0.3,0.3,0.0,same,image,False,flag;pole;spire
60,In what nation is this scene located?,other,france,france,1.0,1.0,0.0,same,image,False,girl;woman;building
61,What festive season are these fruits usually ingested?,other,halloween,holiday,0.0,0.0,0.0,same,image,False,tangerine;orange;bowl
62,What are the boats shaped like?,other,cows,cows,0.0,0.0,0.0,same,image,False,boat;water;person
63,What is the metal basket near the net used to hold?,other,tennis balls,tennis balls,1.0,1.0,0.0,same,image,False,ball;racket;court
64,What is likely to have happened?,other,fall,fall,0.0,0.0,0.0,same,image,False,man;skier;boot
65,Which vegetable on the pizza would be risky for someone with a certain allergy?,which,pepper,pepper,0.3,0.3,0.0,same,image,True,pepper;mushroom;pepperoni
66,Which food has the least carbs?,which,soup,lettuce,1.0,0.3,-0.7,best_better,image,True,lettuce;leaf;salad
67,What vehicle is closest to the security guard?,other,scooter,scooter,0.8999999999999999,0.8999999999999999,0.0,same,image,False,scooter;car;wheel
68,Why are the men wearing yellow vests?,why,work,work,0.0,0.0,0.0,same,image,False,vest;person;house
69,What is the skateboard balanced on?,other,fence,fence,0.3,0.3,0.0,same,image,False,pole;park;sidewalk
70,What is the object in the middle called?,other,counter,counter,0.0,0.0,0.0,same,image,False,sink;countertop;chair
71,What is the gray street made up of?,other,brick,brick,0.3,0.3,0.0,same,image,False,tire;bike;person
72,The name of the street is the same as the last name of what actress?,other,green,green,0.6,0.6,0.0,same,image,False,sign;pole;road
73,How was the cake decorated?,other,red flowers,red flowers,0.0,0.0,0.0,same,image,False,cake;rose;layer
74,The green object on the smaller boat is used as what?,other,container,container,0.0,0.0,0.0,same,image,False,container;object;watermark
75,Who has the same color hair as this woman?,color,no one,no one,0.6,0.6,0.0,same,image,False,man;woman;person
76,Why would you use this bag?,why,travel,travel,0.8999999999999999,0.8999999999999999,0.0,same,image,False,suitcase;bag;luggage
