id,name,group,status,samples,accuracy,score,description,params,output_dir,accuracy_line
0,baseline,current,merged,1145,52.72,603/1145,"baseline: CoT, rounds=5, n_ensemble=5, n_shot=1, caption_type=vinvl",--caption_type vinvl --n_shot 1 --n_ensemble 5 --rounds 5 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_baseline,全量准确率: 52.72% (603/1145)
A1,remove_caption,followup,merged,1145,52.85,605/1145,remove brief caption from final answer context,--remove_caption --caption_type vinvl --n_shot 1 --n_ensemble 5 --rounds 5 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_remove_caption,全量准确率: 52.85% (605/1145)
A2,no_cot,current,merged,1145,58.04,664/1145,disable chain-of-thought prompting,--caption_type vinvl --n_shot 1 --n_ensemble 5 --rounds 5,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_no_cot,全量准确率: 58.04% (664/1145)
A3.1,rounds1,followup,merged,1147,54.85,629/1147,single interactive round,--caption_type vinvl --n_shot 1 --n_ensemble 5 --rounds 1 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_rounds1,全量准确率: 54.85% (629/1147)
A3.2,rounds3,followup,merged,1145,53.27,609/1145,three interactive rounds,--caption_type vinvl --n_shot 1 --n_ensemble 5 --rounds 3 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_rounds3,全量准确率: 53.27% (609/1145)
A4.1,ensemble1,followup,merged,1145,52.92,605/1145,one self-consistency sample,--caption_type vinvl --n_shot 1 --n_ensemble 1 --rounds 5 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_ensemble1,全量准确率: 52.92% (605/1145)
A4.2,ensemble3,followup,merged,1145,52.86,605/1145,three self-consistency samples,--caption_type vinvl --n_shot 1 --n_ensemble 3 --rounds 5 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_ensemble3,全量准确率: 52.86% (605/1145)
A5.1,nshot0,followup,merged,1145,52.52,601/1145,zero-shot prompt,--caption_type vinvl --n_shot 0 --n_ensemble 5 --rounds 5 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_nshot0,全量准确率: 52.52% (601/1145)
A5.2,nshot4,followup,merged,1145,52.48,600/1145,four-shot prompt,--caption_type vinvl --n_shot 4 --n_ensemble 5 --rounds 5 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_nshot4,全量准确率: 52.48% (600/1145)
A6,sim_question,followup,merged,1145,52.45,600/1145,question-only retrieval instead of image+question retrieval,--similarity_metric question --caption_type vinvl --n_shot 1 --n_ensemble 5 --rounds 5 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_sim_question,全量准确率: 52.45% (600/1145)
A7.1,caption_vinvl_tag,followup,merged,1145,51.71,592/1145,VinVL caption plus predicted tags,--caption_type vinvl_tag --n_shot 1 --n_ensemble 5 --rounds 5 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_caption_vinvl_tag,全量准确率: 51.71% (592/1145)
A7.2,caption_vinvl_sg,followup,merged,1145,52.69,603/1145,VinVL scene-graph caption setting,--caption_type vinvl_sg --n_shot 1 --n_ensemble 5 --rounds 5 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_caption_vinvl_sg,全量准确率: 52.69% (603/1145)
B1,ocr,current-added-modules,merged,1145,52.90,605/1145,OCR context switch,--use_ocr_context,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_ocr,全量准确率: 52.90% (605/1145)
B2,clip_thought,current-added-modules,merged,1145,52.86,605/1145,CLIP thought verification,--use_clip_thought_verify,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_clip_thought,全量准确率: 52.86% (605/1145)
B3,qwen_caption,current-added-modules,merged,1145,44.46,509/1145,Qwen-VL global/local caption helper,--use_qwen_blip2_caption,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_qwen_caption,全量准确率: 44.46% (509/1145)
B4,qwen_thought,current-added-modules,merged,1145,53.09,607/1145,Qwen-VL thought verifier,--use_qwen_blip2_thought_verify,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_qwen_thought,全量准确率: 53.09% (607/1145)
B5,all_regions,current-added-modules,merged,1145,52.82,604/1145,inject all regional captions,--use_all_regional_captions,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_all_regions,全量准确率: 52.82% (604/1145)
B6,ensemble_norm,current-added-modules,merged,1145,52.43,600/1145,normalized majority voting,--ensemble_strategy normalized_majority,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_ensemble_norm,全量准确率: 52.43% (600/1145)
B7,all_added,current-added-modules,merged,1145,43.90,502/1145,all added modules except image enhancement,--use_ocr_context --use_clip_thought_verify --use_qwen_blip2_caption --use_qwen_blip2_thought_verify --use_all_regional_captions --ensemble_strategy normalized_majority,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward_all_added,全量准确率: 43.90% (502/1145)
