idx,key,question,question_type,context,objects,r3_answer,r3_score,best_method,best_answer,best_score,delta,r3_caption_answer,r3_caption_score,answer_first_locked_no_caption_answer,answer_first_locked_no_caption_score,review_empty_context_answer,review_empty_context_score,no_cot_rounds1_answer,no_cot_rounds1_score,r3_no_caption_answer,r3_no_caption_score,keep_revise_answer,keep_revise_score,visible_only_answer,visible_only_score,reviewer_caption_only_answer,reviewer_caption_only_score
19,180878<->2xDeTCXSRqdhvREBDhHsMx,What is the outside of the cake made of?,object_what,a birthday cake with a car and a cell phone on it.,"cake,bag,case",frost,0.0,answer_first_locked_no_caption,frosting,0.3,0.3,frost,0.0,frosting,0.3,frost,0.0,frost,0.0,frost,0.0,frost,0.0,frost,0.0,frost,0.0
34,547816<->3qnvp3XRGpc5L6RMhRZ3gg,The visible bottles most likely contain what kind of items?,category_type,a bathroom with a shower curtain and a toilet.,"bottle,countertop,bathtub",shampoo and conditioner,0.0,review_empty_context,shampoo,1.0,1.0,shampoo and conditioner,0.0,shower products,0.0,shampoo,1.0,shampoo and conditioner,0.0,shampoo and conditioner,0.0,shampoo and conditioner,0.0,shampoo,1.0,shampoo and conditioner,0.0
36,485480<->3w3DT989GgT6yjqurjvmt6,What is the batter most likely preparing to do here?,object_what,a baseball player swinging a bat on top of a field.,"bat,hand,glove",hit ball,0.0,answer_first_locked_no_caption,swing,0.6,0.6,hit ball,0.0,swing,0.6,hit ball,0.0,hit ball,0.0,hit ball,0.0,hit ball,0.0,hit ball,0.0,hit ball,0.0
38,286994<->455nQuaxbURN5ofLfbCqfq,What kind of terrain is it?,category_type,a herd of elephants walking across a dry grass field.,"elephant,water,bush",grassland,0.0,answer_first_locked_no_caption,savanna,0.6,0.6,grassland,0.0,savanna,0.6,grassland,0.0,grass field,0.0,savannah,0.0,dry grass field,0.0,grassland,0.0,grassland,0.0
43,153632<->4FBqxbmT4zCDwWzm3gH7LY,Which food item is the knife for?,other,a plate of food on a table with a knife and fork.,"mushroom,food,meat",food,0.0,r3_no_caption,meat,1.0,1.0,food,0.0,food,0.0,food,0.0,food,0.0,meat,1.0,food,0.0,food,0.0,food,0.0
44,217285<->4H7KMfvPvCTSvtf8Uyp55D,What is the orange container on the left near the man in the red shirt used for?,purpose_reason,a baseball player holding a bat on top of a field.,"cooler,dugout,man",cooling,0.0,answer_first_locked_no_caption,cooler,1.0,1.0,cooling,0.0,cooler,1.0,cooling,0.0,cooling,0.0,cooling,0.0,cooling,0.0,cooling,0.0,cooling,0.0
61,50896<->4yq3AnREQ4PP7MXMWvBb5a,What festive season are these fruits usually ingested?,object_what,a bowl filled with oranges on top of a table.,"tangerine,orange,bowl",holiday,0.0,answer_first_locked_no_caption,christmas,1.0,1.0,holiday,0.0,christmas,1.0,christmas,1.0,halloween,0.0,holiday,0.0,holiday,0.0,christmas,1.0,holiday,0.0
68,433204<->5SgmGLJtR47rB539V4Jwt6,Why are the men wearing yellow vests?,purpose_reason,a man riding a motorcycle past a group of people.,"vest,person,house",work,0.0,answer_first_locked_no_caption,safety,1.0,1.0,work,0.0,safety,1.0,work,0.0,work,0.0,work,0.0,work,0.0,work,0.0,work,0.0
70,216497<->5XBmJitjSm9g7SQqNxYpe7,What is the object in the middle called?,object_what,a kitchen with a white counter top next to a stove top oven.,"sink,countertop,chair",counter,0.0,answer_first_locked_no_caption,island,1.0,1.0,counter,0.0,island,1.0,counter,0.0,counter,0.0,island,1.0,counter,0.0,counter,0.0,counter,0.0
73,277689<->5aXXZiPUcUzScs2do5tjYs,How was the cake decorated?,other,a wedding cake with red flowers and a glass of wine.,"cake,rose,layer",red flowers,0.0,answer_first_locked_no_caption,flowers,0.3,0.3,red flowers,0.0,flowers,0.3,red flowers,0.0,red flowers,0.0,flowers,0.3,red flowers,0.0,red flowers,0.0,red flowers,0.0
75,386352<->5fDUuYWCZMudfXVEPywFYc,Who has the same color hair as this woman?,color,a woman holding a tennis racquet on top of a tennis court.,"woman,person,man",man,0.0,review_empty_context,no one,0.6,0.6,man,0.0,man,0.0,no one,0.6,no one,0.6,man,0.0,no one,0.6,no one,0.6,no one,0.6
90,41872<->6Ps8BgA4pbvK4eKToCDQqu,What seems to be contained in the nook underneath the TV?,object_what,a bed room with a bed a tv and a fire place,"fireplace,television,blind",tv,0.0,answer_first_locked_no_caption,fireplace,1.0,1.0,tv,0.0,fireplace,1.0,fireplace,1.0,fireplace,1.0,fireplace,1.0,fireplace,1.0,tv,0.0,fireplace,1.0
101,560474<->6ony7mfRzE7tEhj5udEe5u,What type of event might this be?,category_type,a car with a bunch of toothbrushes on it,"car,doll,person",fair,0.0,answer_first_locked_no_caption,festival,0.6,0.6,fair,0.0,festival,0.6,car show,0.0,car show,0.0,fair,0.0,fair,0.0,fair,0.0,car show,0.0
104,87144<->6phsfhJ9iw5j6nYTpVBd9A,In which way are the adults shown here likely related to the child?,other,a man and a woman sitting on a bench with a baby.,"man,woman,girl",parent,0.0,no_cot_rounds1,parents,1.0,1.0,parent,0.0,parent-child,0.0,parent,0.0,parents,1.0,parent,0.0,parent,0.0,parent,0.0,parent,0.0
111,148957<->767TWXi3wYjFiBX3YXyMuU,What kind of coating has been used?,category_type,a box of six donuts with different toppings.,"donut,chocolate,hole",chocolate and glaze,0.0,answer_first_locked_no_caption,chocolate,0.6,0.6,chocolate and glaze,0.0,chocolate,0.6,chocolate,0.6,glaze,0.0,chocolate,0.6,varied,0.0,glaze,0.0,glaze,0.0
116,403817<->7Hndh7JzZ7BizC4XDSV5Z5,The cat appears to be what type?,category_type,a cat sitting in front of a laptop computer.,"cat,collar,laptop",black and white,0.0,keep_revise,domestic,0.3,0.3,black and white,0.0,black and white,0.0,black and white,0.0,black and white,0.0,black and white,0.0,domestic,0.3,black and white,0.0,black and white,0.0
128,79229<->7dxcZiZowsAK34QswVhXy3,The temperature outside is likely what range?,other,a man riding on the back of a white horse next to a dog.,"man,hat,jacket",cool,0.0,answer_first_locked_no_caption,cold,1.0,1.0,cool,0.0,cold,1.0,cool,0.0,cold,1.0,cool,0.0,cool,0.0,cool,0.0,cold,1.0
174,407083<->9TJtRYnGa8xr8CF67M5Mof,What other animal is this animal traditionally an enemy of?,object_what,a man sitting in the back of a car with a dog.,"fish,neck,roof",rat,0.0,answer_first_locked_no_caption,cat,1.0,1.0,rat,0.0,cat,1.0,rat,0.0,cat,1.0,cat,1.0,cat,1.0,rat,0.0,cat,1.0
188,20571<->9zfgVSEG4hrKHfuoe4tHqx,Why does the couple standing in the boat?,purpose_reason,a boat that is sitting in the water.,"person,mast,pole",fish,0.0,answer_first_locked_no_caption,fishing,0.6,0.6,fish,0.0,fishing,0.6,fish,0.0,fish,0.0,fish,0.0,fish,0.0,fish,0.0,not enough info,0.0
189,236599<->A2uU9gQWJp8Z3LJePdL9u8,What cultural clothing are the women wearing?,action_state,a group of people flying kites over a lush green field.,"person,tail,flag",traditional,0.0,review_empty_context,kimono,0.6,0.6,traditional,0.0,traditional,0.0,kimono,0.6,traditional,0.0,kimono,0.6,kimono,0.6,traditional,0.0,kimono,0.6
193,183049<->A9Pk4Az2eRMuSEgB8GnUBU,The top shelf has many books of the same author of what genre?,other,a book shelf filled with lots of books.,"book,shelf,wall",fiction,0.0,answer_first_locked_no_caption,mystery,0.3,0.3,fiction,0.0,mystery,0.3,nonfiction,0.0,nonfiction,0.0,fiction,0.0,nonfiction,0.0,fiction,0.0,nonfiction,0.0
