group,id,experiment,accuracy,correct,total,delta_vs_baseline,params,note
main,0,baseline,52.72,603,1145,0.00,"--caption_type vinvl --n_shot 1 --n_ensemble 5 --rounds 5 --chain_of_thoughts","original CoT baseline"
main,A2,no_cot,58.04,664,1145,5.32,"baseline args without --chain_of_thoughts","best result in first batch"
main,A3.1,rounds1,54.85,629,1147,2.13,"--rounds 1 --chain_of_thoughts","dirty run with 2 duplicate samples"
main,A3.2,rounds3,53.27,609,1145,0.55,"--rounds 3 --chain_of_thoughts","fewer CoT rounds"
main,A4.1,ensemble1,52.92,606,1145,0.20,"--n_ensemble 1 --chain_of_thoughts","small change"
main,B1,ocr,52.90,606,1145,0.18,"--use_ocr_context --chain_of_thoughts","tiny gain"
main,A4.2,ensemble3,52.86,605,1145,0.14,"--n_ensemble 3 --chain_of_thoughts","tiny gain"
main,B2,clip_thought,52.86,605,1145,0.14,"--use_clip_thought_verify --chain_of_thoughts","tiny gain"
main,A1,remove_caption,52.85,605,1145,0.13,"caption removed from prompt context","tiny gain"
main,B5,all_regions,52.82,605,1145,0.10,"--use_all_regional_captions --chain_of_thoughts","tiny gain"
main,A7.2,caption_vinvl_sg,52.69,603,1145,-0.03,"--caption_type vinvl_sg --chain_of_thoughts","tied with baseline"
main,A5.1,nshot0,52.52,601,1145,-0.20,"--n_shot 0 --chain_of_thoughts","slight drop"
main,A5.2,nshot4,52.48,601,1145,-0.24,"--n_shot 4 --chain_of_thoughts","slight drop"
main,A6,sim_question,52.45,601,1145,-0.27,"question-only retrieval similarity","slight drop"
main,B6,ensemble_norm,52.43,600,1145,-0.29,"normalized ensemble voting","slight drop"
main,A7.1,caption_vinvl_tag,51.71,592,1145,-1.01,"--caption_type vinvl_tag --chain_of_thoughts","predicted tags hurt"
main,B4,qwen_thought,53.09,608,1145,0.37,"--use_qwen_blip2_thought_verify --chain_of_thoughts","best added module in first batch"
main,B3,qwen_caption,44.46,509,1145,-8.26,"--use_qwen_blip2_caption --chain_of_thoughts","Qwen caption injection hurts strongly"
main,B7,all_added,43.90,503,1145,-8.82,"all added modules enabled","harmful interaction, dominated by caption helper"
followup2,NC1,no_cot_rounds1,59.24,678,1145,6.52,"--rounds 1","best overall"
followup2,NC3,no_cot_rounds3,58.18,666,1145,5.46,"--rounds 3","no-CoT remains strong"
followup2,NE1,no_cot_ensemble1,58.18,666,1145,5.46,"--n_ensemble 1","no-CoT, cheaper ensemble"
followup2,NE3,no_cot_ensemble3,57.36,656,1145,4.64,"--n_ensemble 3","no-CoT, moderate ensemble"
followup2,C1,clean_rounds1,55.33,633,1145,2.61,"--rounds 1 --chain_of_thoughts","clean rerun of rounds1"
followup2,CTX0,context_empty,55.90,640,1145,3.18,"--context_mode empty --chain_of_thoughts","removing context beats baseline"
followup2,CTXN,context_no_round_state,55.48,635,1145,2.76,"--context_mode no_round_state --chain_of_thoughts","removing accumulated round state helps"
followup2,CTXC,context_caption_only,55.17,631,1145,2.45,"--context_mode caption_only --chain_of_thoughts","caption-only context helps"
followup2,CTXO,context_objects_only,55.10,630,1145,2.38,"--context_mode objects_only --chain_of_thoughts","object-only context helps"
followup2,QG,qwen_caption_global,44.06,504,1145,-8.66,"--use_qwen_blip2_caption --qwen_caption_mode global --chain_of_thoughts","global Qwen caption hurts strongly"
followup2,QL,qwen_caption_local,45.23,517,1145,-7.49,"--use_qwen_blip2_caption --qwen_caption_mode local --chain_of_thoughts","local Qwen caption hurts strongly"
followup2,QS,qwen_caption_short,43.87,502,1145,-8.85,"--use_qwen_blip2_caption --qwen_caption_max_tokens 48 --qwen_caption_final_max_chars 220 --chain_of_thoughts","short Qwen caption is worst in followup2"
followup2,QNF,qwen_caption_no_final,52.66,602,1145,-0.06,"--use_qwen_blip2_caption --qwen_caption_no_final_context --chain_of_thoughts","querying captions alone is near baseline; injecting them is the harmful part"
followup2,AS,answer_strict_final,52.43,600,1145,-0.29,"--answer_extraction_strategy strict_final --chain_of_thoughts","answer extraction changes do not fix CoT"
followup2,AL,answer_last_line,52.25,598,1145,-0.47,"--answer_extraction_strategy last_line --chain_of_thoughts","slight drop"
followup2,AR,answer_raw,52.37,599,1145,-0.35,"--answer_extraction_strategy raw --chain_of_thoughts","slight drop"
mcts,MCTS5,mcts_image_no_cot_rounds1_n5_4shards,53.92,617,1145,1.20,"--rounds 1 --use_image_enhance --mcts_n_simulations 5","MCTS image enhancement on no-CoT rounds1; much worse than no_cot_rounds1 but above CoT baseline"
